permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
353,146,2024 FD Database,App_1010,239,Active,,San Ignacio,FD/GEN/42/3/14,2016-07-20,Active,1,
354,147,2024 FD Database,App_550,240,Active,,San Ignacio,FD/GEN/42/3/14,2016-08-09,Active,1,
355,148,Historic,App_394,,Active,,San Ignacio,FD/GEN/42/3/13,2016-08-09,,1,
356,149,2024 FD Database,App_615,242,Active,,San Ignacio,FD/FD/42/3/14,2016-08-09,Active,1,
357,150,2024 FD Database,App_183,243,,,San Ignacio,FD/GEN/42/3/14,2016-08-09,Active,2,
358,151,2024 FD Database,App_408,244,Active,,San Ignacio,FD/GEN/42/3/14,2016-08-09,Active,1,
359,152,2024 FD Database,App_667,245,Active,,San Ignacio,FD/GEN/42/3/14,2016-08-09,Active,1,
360,153,2024 FD Database,App_786,246,Active,,San Ignacio,FD/GEN/42/3/14,2016-08-14,Active,2,
361,154,2024 FD Database,App_750,247,Active,,San Ignacio,FD/GEN/42/3/14,2016-09-14,Active,2,
362,155,2024 FD Database,App_658,90,Active,,San Ignacio,FD/GEN/42/3/14,2016-09-14,Active,2,
363,156,"2024 FD Database, Historic",App_235,249,Active,,San Ignacio,FD/GEN/42/3/14,2016-09-14,,1,
364,157,2024 FD Database,App_115,250,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-19,Active,1,
365,158,2024 FD Database,App_100,251,Active,,Savannah,FD/GEN/42/3/14,2016-10-19,Active,1,
366,159,2024 FD Database,App_1192,252,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-19,Active,1,
367,160,2024 FD Database,App_782,253,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-19,Active,1,
368,161,2024 FD Database,App_681,254,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-19,Active,1,
369,162,2024 FD Database,App_1082,255,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-19,Active,1,Applicant lost permit
370,163,2024 FD Database,App_1282,256,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-20,Active,1,
371,164,2024 FD Database,App_790,257,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-20,Active,1,
372,165,2024 FD Database,App_980,258,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-20,Active,1,
373,166,2024 FD Database,App_1261,259,Active,,San Ignacio,FD/GEN/42/3/14,2016-10-20,Active,1,
375,,Historic,App_1151,,,,,,2016-10-20,,1,
376,167,2024 FD Database,App_1122,260,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
377,168,2024 FD Database,App_330,261,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,2,
378,169,2024 FD Database,App_1088,262,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
379,170,2024 FD Database,App_502,263,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
